2026-04-28 15:43:18 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN010gEP3j25owqv7HL1E_!!2215059867574-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:43:21 | INFO     | services.fashion_service | [913754391304Beige] view_3 → product-to-model job 019dd394-3c20-71f1-bb07-40aa0f194e2a
2026-04-28 15:43:43 | INFO     | services.fashion_service | [913754391304Beige] view_3 completed → https://cdn.fashn.ai/019dd394-3c20-71f1-bb07-40aa0f194e2a/product_to_model_0.jpeg
2026-04-28 15:43:44 | INFO     | services.storage_service | Downloaded to local: outputs\913754391304Beige\view_3.jpeg
2026-04-28 15:43:44 | INFO     | pipeline | [913754391304Beige] view_3 ✓
2026-04-28 15:43:46 | INFO     | services.sheetservices | Written output_image_1 for 913754391304Beige: outputs\913754391304Beige\view_1.jpeg
2026-04-28 15:43:47 | INFO     | services.sheetservices | Written output_image_2 for 913754391304Beige: outputs\913754391304Beige\view_2.jpeg
2026-04-28 15:43:47 | INFO     | services.sheetservices | Written output_image_3 for 913754391304Beige: outputs\913754391304Beige\view_3.jpeg
2026-04-28 15:43:47 | INFO     | pipeline | Processing product 5/6: 921526678289Black
2026-04-28 15:43:49 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN01McivUp1T66gEqOgIB_!!2219414722332-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:43:53 | INFO     | services.fashion_service | [921526678289Black] view_1 → product-to-model job 019dd394-b5ca-7fd0-9807-9da7773fa818
2026-04-28 15:44:08 | INFO     | services.fashion_service | [921526678289Black] view_1 completed → https://cdn.fashn.ai/019dd394-b5ca-7fd0-9807-9da7773fa818/product_to_model_0.jpeg
2026-04-28 15:44:09 | INFO     | services.storage_service | Downloaded to local: outputs\921526678289Black\view_1.jpeg
2026-04-28 15:44:09 | INFO     | pipeline | [921526678289Black] view_1 ✓
2026-04-28 15:44:11 | WARNING  | services.image_classifier | Classification failed for https://cbu01.alicdn.com/img/ibank/O1CN01McivUp1T66gEqOgIB_!!2219414722332-0-cib.jpg, defaulting to PRODUCT_ONLY. Error: 400 Client Error: Bad Request for url: https://api.anthropic.com/v1/messages
2026-04-28 15:44:15 | INFO     | services.fashion_service | [921526678289Black] view_2 → product-to-model job 019dd395-0cc7-7383-b4d8-023b5d6dbcb9
2026-04-28 15:44:49 | INFO     | services.fashion_service | [921526678289Black] view_2 completed → https://cdn.fashn.ai/019dd395-0cc7-7383-b4d8-023b5d6dbcb9/product_to_model_0.jpeg
